alpha0,beta,c,total_ejecuciones,convergieron,no_convergieron,iter_promedio,iter_min,iter_max,f_final_prom,f_final_min,f_final_max,dist_prom,tasa_convergencia_%
0.5,0.5,0.0001,300,300,0,94.86,6,129,-13.028214387243377,-15.234422383425898,-1.445622407283798,2.5038177290603083,100.0
0.5,0.5,0.001,300,300,0,94.38,6,129,-13.028214387243315,-15.234422383425898,-1.4456224072799104,2.5038177382066595,100.0
0.5,0.7,0.0001,300,300,0,91.21666666666667,39,209,-13.53380371969805,-15.23442238342635,-1.445622407285568,2.5898853459812976,100.0
0.5,0.7,0.001,300,300,0,90.52333333333333,39,197,-13.579766386285131,-15.23442238342635,-1.445622407285568,2.5977096734338185,100.0
0.8,0.5,0.0001,300,300,0,83.69,46,98,-14.590945051190928,-15.234422383420137,-1.4456224072759016,2.769844898595578,100.0
0.8,0.5,0.001,300,300,0,83.67,46,98,-14.59094505119082,-15.234422383420137,-1.4456224072759016,2.7698448983325004,100.0
0.8,0.7,0.0001,300,300,0,110.81666666666666,50,129,-14.958646383903066,-15.234422383428004,-1.44562240728359,2.832439267716776,100.0
0.8,0.7,0.001,300,300,0,108.66,50,128,-14.912683717315835,-15.23442238342791,-1.44562240728359,2.824614984621177,100.0
1.0,0.5,0.0001,300,300,0,104.52333333333333,7,130,-14.223243718508684,-15.234422383425898,-1.445622407285602,2.7072500589399535,100.0
1.0,0.5,0.001,300,300,0,103.61666666666666,7,130,-14.177281051921524,-15.234422383425898,-1.4456224072815504,2.6994257445458354,100.0
1.0,0.7,0.0001,300,300,0,95.17333333333333,50,125,-14.820758384132727,-15.234422383420451,-1.4456224072856796,2.808966124872952,100.0
1.0,0.7,0.001,300,300,0,95.12666666666667,50,125,-14.820758384132489,-15.234422383420451,-1.4456224072856796,2.808966400879434,100.0
