region,learning_rate,iteraciones_mean,iteraciones_std,iteraciones_min,iteraciones_max,iteraciones_count,f_final_mean,f_final_std,f_final_min,f_final_max
1,0.005,1086.132075471698,102.32847519627268,667,1184,53,-3.7871167331610467,5.226782856839726,-15.234422373823175,-1.445622397492177
1,0.01,573.0697674418604,55.598216547637236,367,624,43,-5.293659607579133,6.25805057492536,-15.234422381121233,-1.445622404888216
1,0.05,127.66666666666667,7.0209769724062525,109,134,18,-4.509800179690501,5.898747033177922,-15.234422383362174,-1.44562240720804
1,0.1,65.88888888888889,1.05409255338946,64,67,9,-1.445622407274524,1.4546391913278977e-12,-1.4456224072767188,-1.4456224072726134
2,0.001,2255.0,,2255,2255,1,-15.234422135372634,,-15.234422135372634,-15.234422135372634
2,0.005,1087.73,103.42223497328168,610,1186,100,-11.235670380642592,6.288354948964518,-15.234422373822849,-1.4456223975030729
2,0.01,576.17,51.41435066735216,339,625,100,-11.235670387993398,6.288354948967398,-15.23442238112305,-1.4456224048876252
2,0.05,127.01,9.84269713384938,81,136,100,-11.235670390275821,6.28835494897198,-15.234422383363322,-1.4456224072096933
2,0.1,63.724137931034484,4.199460439186869,54,68,29,-1.4456224072747768,1.673003429588017e-12,-1.44562240727738,-1.4456224072721626
3,0.005,1100.9577464788733,91.77043355487157,740,1186,71,-12.127087167831924,5.802158833089553,-15.234422373821983,-1.4456223974868594
3,0.01,583.58,49.218003177035676,403,625,50,-12.200886386331751,5.7699503429206525,-15.23442238112069,-1.4456224048881876
3,0.05,127.0,11.835539700410793,94,136,26,-14.704083922734334,2.7042061595151488,-15.234422383363292,-1.4456224072097694
3,0.1,66.5,2.3804761428476167,63,68,4,-1.445622407275006,1.1830387352827192e-12,-1.4456224072764496,-1.445622407273693
