punto_id,region,x1_inicial,x2_inicial,alpha0,beta,c,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final
P000,1,-99.44778828763975,63.09228569096683,1.0,0.5,0.0001,2.8793857521453714,0.0,-15.234422383425352,103,True,2.8793857521453714
P000,1,-99.44778828763975,63.09228569096683,1.0,0.5,0.001,2.8793857521453714,0.0,-15.234422383425352,103,True,2.8793857521453714
P000,1,-99.44778828763975,63.09228569096683,1.0,0.7,0.0001,2.8793848008152363,-3.4614899635376774e-06,-15.234422383414389,128,True,2.879384800817317
P000,1,-99.44778828763975,63.09228569096683,1.0,0.7,0.001,2.879385704938171,3.189374237588612e-06,-15.234422383415886,104,True,2.879385704939937
P000,1,-99.44778828763975,63.09228569096683,0.8,0.5,0.0001,2.879385582728714,-3.0295120629194605e-06,-15.234422383418373,93,True,2.8793855827303076
P000,1,-99.44778828763975,63.09228569096683,0.8,0.5,0.001,2.879385582728714,-3.0295120629194605e-06,-15.234422383418373,93,True,2.8793855827303076
P000,1,-99.44778828763975,63.09228569096683,0.8,0.7,0.0001,2.879385780618555,2.945057163993255e-07,-15.234422383424814,122,True,2.8793857806185703
P000,1,-99.44778828763975,63.09228569096683,0.8,0.7,0.001,2.8793857823950635,-3.3448846669217883e-07,-15.234422383424766,136,True,2.879385782395083
P000,1,-99.44778828763975,63.09228569096683,0.5,0.5,0.0001,2.8793857521453714,0.0,-15.234422383425352,103,True,2.8793857521453714
P000,1,-99.44778828763975,63.09228569096683,0.5,0.5,0.001,2.8793857521453714,0.0,-15.234422383425352,103,True,2.8793857521453714
P000,1,-99.44778828763975,63.09228569096683,0.5,0.7,0.0001,2.879384773381715,0.0,-15.234422383425997,70,True,2.879384773381715
P000,1,-99.44778828763975,63.09228569096683,0.5,0.7,0.001,2.879384773381715,0.0,-15.234422383425997,70,True,2.879384773381715
P001,1,-99.30478694688092,2.149460515513141,1.0,0.5,0.0001,2.8793847426819648,0.0,-15.234422383425535,92,True,2.8793847426819648
P001,1,-99.30478694688092,2.149460515513141,1.0,0.5,0.001,2.8793847426819648,0.0,-15.234422383425535,92,True,2.8793847426819648
P001,1,-99.30478694688092,2.149460515513141,1.0,0.7,0.0001,2.8793857552272173,3.020828257565542e-06,-15.234422383416177,99,True,2.879385755228802
P001,1,-99.30478694688092,2.149460515513141,1.0,0.7,0.001,2.8793857552272173,3.020828257565542e-06,-15.234422383416177,99,True,2.879385755228802
P001,1,-99.30478694688092,2.149460515513141,0.8,0.5,0.0001,2.8793857169570316,4.15115601197863e-06,-15.234422383408647,91,True,2.879385716960024
