x0,lr,x_final,f_final,num_iter
"[4.154632704856088, 1.1692975903366953]",0.001,[2.8806697  0.78348974],-14.620541133937538,201
"[2.5282100953178617, 0]",0.001,[2.87839694 0.        ],-15.234407551599304,201
"[4.402827373550005, 2.7153904860686477]",0.001,[2.8807686  1.81945178],-11.923988520634198,201
"[2.608278578423722, 0]",0.001,[2.87867655 0.        ],-15.234414755833475,201
"[4.74344279902939, -1.5487212680420794]",0.001,[ 2.88087255 -1.03772318],-14.157519342850218,201
"[2.33097117161522, 0]",0.001,[2.87750042 0.        ],-15.234368461271405,201
"[4.634112780230091, 0.8369625016026938]",0.001,[2.88084251 0.56080807],-14.919884400180713,201
"[4.90901342018667, 0]",0.001,[2.88091309 0.        ],-15.234386892406267,201
"[4.683715538243085, 1.3108658221378473]",0.001,[2.88085649 0.87834776],-14.462894687546875,201
"[4.566476505893959, 0]",0.001,[2.88082244 0.        ],-15.234390980264445,201
"[-1.125058286856437, 2.632760574594279]",0.001,[-0.54548655  1.76408547],1.667840930938473,201
"[-0.9131567058198078, 0]",0.001,[-0.5422401  0.       ],-1.4447829765229703,201
"[-0.6781196211625797, -0.24233574803284963]",0.001,[-0.53690072 -0.16237746],-1.4190681153207836,201
"[-4.180039606650821, 0]",0.001,[-0.55587917  0.        ],-1.440964332218948,201
"[-0.3537647972677185, -1.0245244118165973]",0.001,[-0.52359997 -0.68648424],-0.9737830142607384,201
"[-2.925732523187683, 0]",0.001,[-0.55451429  0.        ],-1.441487717399315,201
"[-3.2793542874905066, -0.7597608301925614]",0.001,[-0.55503966 -0.50907897],-1.1821286132075262,201
"[-4.777666771876778, 0]",0.001,[-0.55620514  0.        ],-1.4408346411149244,201
"[-1.772436491682512, 1.6298369878010934]",0.001,[-0.55093168  1.0920749 ],-0.2500835320622148,201
"[-3.4342245487240466, 0]",0.001,[-0.55522685  0.        ],-1.4412184331198132,201
"[1.5759443278630192, 1.7243490794037832]",0.001,[2.86498549 1.15540288],-13.89633874802502,201
"[0.8114274404912043, 0]",0.001,[2.08896965 0.        ],-9.06475620587167,201
"[1.679426561255817, -1.4658683381335451]",0.001,[ 2.86873256 -0.98220745],-14.267975950779283,201
"[1.8069261769104918, 0]",0.001,[2.87186269 0.        ],-15.2335658524453,201
"[1.7451732837502159, -2.5099872341412746]",0.001,[ 2.87050498 -1.681821  ],-12.404707708591909,201
"[1.2186640792320769, 0]",0.001,[2.82658994 0.        ],-15.193174066672347,201
"[0.13054189618961537, 1.6718331040358247]",0.001,[-0.45796219  1.12021447],-0.1487894127879521,201
"[0.6905018830510016, 0]",0.001,[0.99067112 0.        ],1.0367933468456676,201
"[1.7523233573301127, -2.0814779311008764]",0.001,[ 2.8706759  -1.39469765],-13.28809342423533,201
"[1.1488192710407874, 0]",0.001,[2.80560676 0.        ],-15.154714792274728,201
"[4.154632704856088, 1.1692975903366953]",0.005,[2.87938524 0.15666211],-15.209879366417143,201
"[2.5282100953178617, 0]",0.005,[2.87937955 0.        ],-15.234422382936954,71
"[4.402827373550005, 2.7153904860686477]",0.005,[2.87938524 0.36380713],-15.102066752362864,201
"[2.608278578423722, 0]",0.005,[2.87937962 0.        ],-15.234422382949823,69
